"","D-12_1","D-12_2","D-12_3","D-24_1","D-24_2","D-24_3","D-36_1","D-36_2","D-36_3","D-48_1","D-48_2","D-48_3","D-60_1","D-60_2","D-60_3"
"LOC107997019",0.123,0.374,0.174,1.171,0.925,1.136,0.352,0.369,0.377,0.2,0.072,0.535,1.012,1.038,0.827
"LOC108001031",5.789,4.857,3.995,67.197,65.674,71.247,61.464,50.006,54.002,58.967,62.071,66.056,45.858,47.3,46.535
"LOC108001157",4.97,6.457,8.133,68.663,65.366,69.668,68.622,78.977,70.703,96.019,93.738,98.788,110.98,110.695,110.371
"LOC107999664",25.856,29.766,28.724,0,0,0.273,0.44,1.267,0.825,0,0.113,0,0.316,0.125,0.099
"LOC107999426",23.193,28.681,27.237,28.465,31.337,32.809,25.09,35.786,38.061,41.328,37.532,30.926,36.23,38.954,38.161
"LOC108000945",700.913,684.72,664.12,220.303,227.588,225.432,249.024,292.12,266.789,271.974,243.511,225.47,220.811,226.367,224.372
"LOC107997660",229.496,229.926,226.527,251.85,254.134,244.816,174.273,183.883,186.138,155.667,161.634,151.185,142.731,137.622,136.014
"LOC108003712",8.475,14.349,12.718,14.39,16.138,16.438,17.032,27.755,22.891,26.128,26.288,17.557,11.911,13.488,12.205
"LOC108004434",1.285,1.068,0.831,1.786,1.602,1.748,7.917,5.693,5.393,17.736,16,16.24,44.018,51.276,43.797
"LOC107995962",711.096,676.861,701.055,363.305,358.872,358.955,1028.53,975.775,1019.603,1189.959,1163.755,1242.425,1059.932,1043.514,1045.209
"LOC107994954",91.8,90.177,83.223,53.725,54.45,52.872,59.653,62.821,60.045,55.026,49.588,52.706,115.326,115.597,116.409
"LOC107997357",32.495,38.57,36.803,64.875,61.359,66.657,59.802,59.424,60.945,69.159,71.63,76.43,55.181,56.339,54.61
"LOC107999261",0.34,1.037,0.242,1.517,2.1,2.183,6.254,2.047,3.142,1.481,2.2,2.143,2.433,3.546,2.117
"LOC108002692",122.476,125.024,119.52,2.702,1.662,1.872,0.696,0.973,0.622,0.11,0,0,0.222,0.132,0.21
"LOC107996080",67.761,68.671,69.044,491.196,472.602,488.634,373.393,327.657,359.918,401.495,438.311,472.959,334.639,339.539,338.929
"LOC114577450",0,0,0,0,0,0,0,0,0,0,0,0.071,0,0,0
"LOC107992466",62.269,58.889,58.355,71.092,70.305,75.951,93.047,94.964,101.513,100.941,96.718,99.696,105.926,93.663,99.199
"LOC107999208",35.532,41.249,31.75,23.916,29.924,31.102,23.899,26.867,28.738,32.586,30.427,30.479,28.473,31.065,27.367
"LOC107995937",5.899,5.857,4.823,29.623,30.797,29.545,20.169,17.393,17.686,23.621,22.545,21.348,21.756,20.79,20.233
"LOC107992624",18.503,21.826,15.061,60.046,59.94,60.386,64.087,64.442,69.238,74.684,79.273,92.201,63.35,60.815,57.088
"LOC108003838",0.353,0.538,0,2.585,1.573,1.635,10.642,8.918,7.93,38.411,34.854,31.968,38.925,37.808,35.321
"LOC114577255",0,0,0,20.442,24.29,23.213,1.502,3.433,3.073,2.846,4.193,4.031,10.855,7.122,8.26
"LOC107993257",119.006,113.92,118.306,304.837,293.791,314.536,322.445,301.328,296.485,443.949,442.826,450.932,409.858,431.67,414.936
